IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,IMF15,IMFRS
14.83745663,1.237401455,1.396080751,0.428412628,-0.292552018,-0.594099191,0.609755852,0.456431191,0.430467455,0.358860164,-0.153382008,-0.08658784,-0.189317476,-0.041933707,-0.031713319,0.414719435
14.88046512,1.370440913,1.455987672,0.10615769,-0.400234748,-0.089498093,1.047809781,0.274524758,-0.146033293,-0.562915786,-0.112046477,0.301647227,0.28508247,-0.035982702,0.015399726,0.529195746
14.91259352,1.488946378,1.423181327,-0.346889757,-0.277898196,0.620453656,0.31174601,-0.461928716,-0.5102809,-0.025621345,0.380045195,-0.243147369,-0.254452208,0.099552657,0.003477344,0.780222404
14.93109447,1.589818916,1.295152261,-0.79812591,0.057807795,0.923631477,-0.878757921,-0.507615319,0.262601067,0.672499198,-0.252062636,-0.071377996,0.116644651,-0.129956736,-0.008916333,0.297563017
14.94252599,1.67964317,1.086905443,-1.080481476,0.473265707,0.494899599,-1.15048512,0.386319006,0.628867722,-0.368351323,-0.2176017,0.416652672,0.100955192,0.147127634,0.011790927,0.347966554
14.94758182,1.759132295,0.811826691,-1.066854577,0.743089477,-0.411200357,-0.085928333,0.794287962,-0.370493781,-0.544283785,0.544020053,-0.464382837,-0.309114224,-0.155357789,-0.007382816,0.265060201
14.94749129,1.829576794,0.487678848,-0.705852175,0.676855446,-1.09305083,1.192889014,-0.113481764,-0.735606009,0.737926055,-0.282682288,0.111502301,0.423486347,0.170870327,0.001726763,0.130669883
14.94451243,1.893339192,0.136160949,-0.044832287,0.239693605,-0.945332851,1.20492603,-0.995592786,0.489256366,0.194938,-0.364270645,0.416887605,-0.374341264,-0.195242814,0.007993084,0.191905388
14.93781595,1.949630252,-0.22322255,0.767056154,-0.406561558,0.005063863,-0.188755262,-0.329998654,0.841936855,-0.94063506,0.692594876,-0.691028397,0.159443721,0.229847355,-0.019722744,0.216535195
14.927151,1.998263721,-0.569753762,1.51780499,-0.952232754,1.059404534,-1.488913484,1.006960063,-0.602042921,0.314689187,-0.251680626,0.435859923,0.158868639,-0.263159272,0.037574305,0.151206455
